player_total,is_soft,dealer_up,true_count,best_action,Q_hit,Q_stand,Q_double,Q_surrender,thorp_action,matches_thorp,visit_count
6,False,2,-4,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
6,False,2,-3,H,0.4375,-0.5000,-0.5000,-0.5000,H,True,6
6,False,2,-2,H,0.2143,-0.5000,-0.5000,-0.5000,H,True,4
6,False,2,-1,H,0.2083,-0.5000,-0.5000,-0.5000,H,True,14
6,False,2,0,H,-0.0615,-0.5000,-0.5000,-0.5000,H,True,55
6,False,2,1,H,0.0000,-0.5000,-0.5000,-0.5000,H,True,11
6,False,2,2,H,0.3571,-0.5000,-0.5000,-0.5000,H,True,4
6,False,2,3,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
6,False,2,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
6,False,2,5,H,0.2500,-0.5000,-0.5000,-0.5000,H,True,2
6,False,3,-5,H,0.1250,-0.5000,-0.5000,-0.5000,H,True,6
6,False,3,-4,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
6,False,3,-3,H,0.2778,-0.5000,-0.5000,-0.5000,H,True,8
6,False,3,-2,H,0.2083,-0.5000,-0.5000,-0.5000,H,True,14
6,False,3,-1,H,0.0357,-0.5000,-0.5000,-0.5000,H,True,18
6,False,3,0,H,-0.1607,-0.5000,-0.5000,-0.5000,H,True,46
6,False,3,1,H,0.1429,-0.5000,-0.5000,-0.5000,H,True,11
6,False,3,2,H,0.2353,-0.5000,-0.5000,-0.5000,H,True,7
6,False,3,3,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
6,False,3,4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,3,5,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
6,False,4,-5,H,0.4706,-0.5000,-0.5000,-0.5000,H,True,7
6,False,4,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,4,-3,H,0.3571,-0.5000,-0.5000,-0.5000,H,True,4
6,False,4,-2,H,0.4000,-0.5000,-0.5000,-0.5000,H,True,5
6,False,4,-1,H,0.0870,-0.5000,-0.5000,-0.5000,H,True,13
6,False,4,0,H,-0.1702,-0.5000,-0.5000,-0.5000,H,True,37
6,False,4,1,H,0.5714,-0.5000,-0.5000,-0.5000,H,True,11
6,False,4,2,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
6,False,4,3,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
6,False,4,4,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
6,False,4,5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,5,-5,H,0.1538,-0.5000,-0.5000,-0.5000,H,True,3
6,False,5,-4,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
6,False,5,-3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
6,False,5,-2,H,0.4000,-0.5000,-0.5000,-0.5000,H,True,5
6,False,5,-1,H,0.1154,-0.5000,-0.5000,-0.5000,H,True,16
6,False,5,0,H,-0.1136,-0.5000,-0.5000,-0.5000,H,True,34
6,False,5,1,H,0.0625,-0.5000,-0.5000,-0.5000,H,True,6
6,False,5,2,H,0.2857,-0.5000,-0.5000,-0.5000,H,True,11
6,False,5,3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
6,False,5,4,H,0.5455,-0.5000,-0.5000,-0.5000,H,True,1
6,False,5,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
6,False,6,-5,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
6,False,6,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,6,-3,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
6,False,6,-2,H,0.4706,-0.5000,-0.5000,-0.5000,H,True,7
6,False,6,-1,H,-0.0000,-0.5000,-0.5000,-0.5000,H,True,11
6,False,6,0,H,0.0370,-0.5000,-0.5000,-0.5000,H,True,44
6,False,6,1,H,0.4167,-0.5000,-0.5000,-0.5000,H,True,2
6,False,6,2,H,0.4286,-0.5000,-0.5000,-0.5000,H,True,4
6,False,6,3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,4
6,False,6,4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,6,5,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,7,-5,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
6,False,7,-4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,7,-3,H,0.5385,-0.5000,-0.5000,-0.5000,H,True,3
6,False,7,-2,H,0.3125,-0.5000,-0.5000,-0.5000,H,True,6
6,False,7,-1,H,0.0435,-0.5000,-0.5000,-0.5000,H,True,13
6,False,7,0,H,-0.2105,-0.5000,-0.5000,-0.5000,H,True,47
6,False,7,1,H,-0.0417,-0.5000,-0.5000,-0.5000,H,True,14
6,False,7,2,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
6,False,7,3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
6,False,7,4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,7,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
6,False,8,-5,H,0.3077,-0.5000,-0.5000,-0.5000,H,True,3
6,False,8,-4,H,0.3333,-0.5000,-0.5000,-0.5000,H,True,5
6,False,8,-3,H,0.3333,-0.5000,-0.5000,-0.5000,H,True,2
6,False,8,-2,H,0.4000,-0.5000,-0.5000,-0.5000,H,True,10
6,False,8,-1,H,0.0870,-0.5000,-0.5000,-0.5000,H,True,13
6,False,8,0,H,-0.1429,-0.5000,-0.5000,-0.5000,H,True,67
6,False,8,1,H,-0.0345,-0.5000,-0.5000,-0.5000,H,True,19
6,False,8,2,H,0.0556,-0.5000,-0.5000,-0.5000,H,True,8
6,False,8,3,H,0.3125,-0.5000,-0.5000,-0.5000,H,True,6
6,False,8,4,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
6,False,8,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
6,False,9,-5,H,0.0000,-0.5000,-0.5000,-0.5000,H,True,6
6,False,9,-4,H,0.2667,-0.5000,-0.5000,-0.5000,H,True,5
6,False,9,-3,H,0.3333,-0.5000,-0.5000,-0.5000,H,True,5
6,False,9,-2,H,0.3750,-0.5000,-0.5000,-0.5000,H,True,6
6,False,9,-1,H,0.0526,-0.5000,-0.5000,-0.5000,H,True,9
6,False,9,0,H,-0.1231,-0.5000,-0.5000,-0.5000,H,True,55
6,False,9,1,H,0.1923,-0.5000,-0.5000,-0.5000,H,True,16
6,False,9,2,H,0.1500,-0.5000,-0.5000,-0.5000,H,True,10
6,False,9,3,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
6,False,9,4,H,0.2308,-0.5000,-0.5000,-0.5000,H,True,3
6,False,9,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
