player_total,is_soft,dealer_up,true_count,EV,samples
15,False,3,-1,-0.25,8
16,False,5,-2,1.0,2
8,False,2,-2,-0.333,3
14,False,6,-2,-0.5,4
17,False,8,-1,-1.0,3
18,True,11,-3,-1.0,1
4,False,9,1,1.0,1
15,True,7,1,-0.5,2
13,False,8,1,-0.455,11
8,False,4,0,0.0,9
17,False,7,1,-0.143,7
7,False,10,2,-0.333,6
17,True,6,2,2.0,1
9,False,4,2,2.0,1
11,False,5,2,-2.0,1
13,False,5,3,1.0,1
6,False,6,3,1.5,2
13,True,7,4,1.0,1
14,False,5,3,0.333,3
17,False,7,3,-0.5,2
8,False,3,3,1.0,2
15,False,7,4,1.0,2
19,True,10,4,1.0,2
19,False,10,3,0.0,4
11,False,11,2,-1.333,3
21,True,8,2,1.5,3
11,False,2,2,0.0,2
14,False,4,3,-1.0,1
20,False,4,4,1.0,2
17,False,9,4,0.25,4
14,True,6,3,-2.0,1
14,False,7,4,0.333,3
20,False,5,4,1.0,3
16,False,3,4,-1.0,1
17,True,5,5,2.0,1
13,False,2,5,-1.0,2
10,False,3,6,2.0,1
13,False,7,7,-1.0,1
4,False,5,0,-1.0,2
8,False,5,1,-0.333,3
12,False,11,2,0.0,3
13,False,3,1,-0.143,7
19,False,7,2,1.0,1
18,False,10,3,-0.2,5
20,False,2,2,1.0,7
21,True,3,1,1.5,4
6,False,6,-1,1.0,1
14,True,7,-1,-1.0,1
19,False,11,-2,-0.5,4
21,True,3,-2,1.5,1
16,False,9,-2,-0.5,4
7,False,8,-2,1.0,1
7,False,6,0,-0.5,4
22,True,9,0,0.5,2
13,True,3,0,0.143,7
5,False,6,0,-1.0,4
7,False,8,-1,1.0,1
5,False,4,0,0.5,4
